"","Caller_ID","Session","First_Name","Last_Name","Street","City","Address","Zipcode","Email","Incoming_Phone","Contact_Phone","Test_Control","NoIncoming","Phone","Purchase_Status","Dummy_Email","State","date","Days_in_Between"
"1","68359340ZFZYECVJ","2014-01-06 04:09:15","Bertha","","","","","","","(864)-004-6354","(864)-004-6354","test",0,"(864)-004-6354",FALSE,0,"unknown",2014-01-06,"200"
"2","83119994SISMLSRO","2014-01-06 04:15:43","Kyle","","","","","","","(703)-220-0148","(703)-220-0148","control",0,"(703)-220-0148",FALSE,0,"unknown",2014-01-06,"200"
"3","58448995NDCOTARU","2014-01-06 04:20:05","Paxton","","","","","","","(559)-299-7745","(559)-299-7745","control",0,"(559)-299-7745",FALSE,0,"unknown",2014-01-06,"200"
"4","84112006ELLKIDBK","2014-01-06 04:25:05","Thelma","","","","","","","(636)-611-4439","(636)-611-4439","test",0,"(636)-611-4439",FALSE,0,"unknown",2014-01-06,"200"
"5","10840705OUMWVGBO","2014-01-06 04:30:35","Lorna","","","","","","","(253)-461-5118","(253)-461-5118","control",0,"(253)-461-5118",FALSE,0,"unknown",2014-01-06,"200"
"6","65443966UFFCGEYN","2014-01-06 04:36:22","Leann","","","","","","","(407)-910-9280","(407)-910-9280","test",0,"(407)-910-9280",FALSE,0,"unknown",2014-01-06,"200"
"7","32925665LXCXFJYF","2014-01-06 04:40:40","Jackson","Lueilwitz","","","","","","(803)-853-6182","(803)-853-6182","test",0,"(803)-853-6182",FALSE,0,"unknown",2014-01-06,"200"
"8","68567175CBGRRTBX","2014-01-06 04:45:57","Hector","Dickens","","","NE","","","(631)-808-0736","(631)-808-0736","test",0,"(631)-808-0736",FALSE,0,"NE",2014-01-06,"200"
"9","76952883ZBVRXEZR","2014-01-06 04:49:27","Nayeli","Green","","","","","","(918)-738-2706","(918)-738-2706","control",0,"(918)-738-2706",FALSE,0,"unknown",2014-01-06,"200"
"10","52400767QHEQTZRF","2014-01-06 04:54:08","Joey","Denesik","","East Jarod","UT","","","(440)-480-7247","(440)-480-7247","test",0,"(440)-480-7247",FALSE,0,"UT",2014-01-06,"200"
